index,Unnamed: 0,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,EXPIRY_DAYS,Approx_Spot_Price,Model_Price,Price_Difference
2423531,32075489,OPTIDX,BANKNIFTY,2019-11-14,29700.0,CE,0.0,0.0,0.0,649.0,983.25,0.0,0.0,0.0,0.0,2019-10-30,15,29286.885259197745,334.2310261207168,-314.7689738792832
2423531,32075489,OPTIDX,BANKNIFTY,2019-11-14,29700.0,CE,0.0,0.0,0.0,649.0,983.25,0.0,0.0,0.0,0.0,2019-10-30,15,29286.885259197745,311.27572752175246,-337.72427247824754
2423602,32075560,OPTIDX,BANKNIFTY,2019-11-14,29700.0,PE,0.0,0.0,0.0,1001.15,627.75,0.0,0.0,20.0,0.0,2019-10-30,15,29286.885259197745,668.9757117776567,-332.1742882223433
2423602,32075560,OPTIDX,BANKNIFTY,2019-11-14,29700.0,PE,0.0,0.0,0.0,1001.15,627.75,0.0,0.0,20.0,0.0,2019-10-30,15,29286.885259197745,715.8679669374471,-285.28203306255284
2423673,32075631,OPTIDX,BANKNIFTY,2019-11-21,29700.0,CE,0.0,0.0,0.0,1047.55,1165.55,0.0,0.0,0.0,0.0,2019-10-30,22,29189.47788863234,428.58260318064987,-618.9673968193501
2423673,32075631,OPTIDX,BANKNIFTY,2019-11-21,29700.0,CE,0.0,0.0,0.0,1047.55,1165.55,0.0,0.0,0.0,0.0,2019-10-30,22,29189.47788863234,376.52995515330207,-671.0200448466978
2423744,32075702,OPTIDX,BANKNIFTY,2019-11-21,29700.0,PE,0.0,0.0,0.0,1468.7,778.35,0.0,0.0,0.0,0.0,2019-10-30,22,29189.47788863234,852.2597289424315,-616.4402710575686
2423744,32075702,OPTIDX,BANKNIFTY,2019-11-21,29700.0,PE,0.0,0.0,0.0,1468.7,778.35,0.0,0.0,0.0,0.0,2019-10-30,22,29189.47788863234,785.400163401646,-683.2998365983541
2423815,32075773,OPTIDX,BANKNIFTY,2019-11-28,29700.0,CE,920.0,1080.55,920.0,1005.0,1005.0,11.0,67.52,80.0,-100.0,2019-10-30,29,29992.09774495524,935.0269983291604,-69.97300167083961
2423815,32075773,OPTIDX,BANKNIFTY,2019-11-28,29700.0,CE,920.0,1080.55,920.0,1005.0,1005.0,11.0,67.52,80.0,-100.0,2019-10-30,29,29992.09774495524,861.0201879095569,-143.97981209044315
2423886,32075844,OPTIDX,BANKNIFTY,2019-11-28,29700.0,PE,600.0,678.2,552.0,595.15,595.15,145.0,878.67,660.0,180.0,2019-10-30,29,29992.09774495524,494.6775055207856,-100.47249447921439
2423886,32075844,OPTIDX,BANKNIFTY,2019-11-28,29700.0,PE,600.0,678.2,552.0,595.15,595.15,145.0,878.67,660.0,180.0,2019-10-30,29,29992.09774495524,511.68898210865746,-83.46101789134252
2423948,32075906,OPTIDX,BANKNIFTY,2019-12-05,29700.0,CE,0.0,0.0,0.0,1723.55,1469.25,0.0,0.0,0.0,0.0,2019-10-30,36,28579.594802070987,301.39122555526694,-1422.158774444733
2423948,32075906,OPTIDX,BANKNIFTY,2019-12-05,29700.0,CE,0.0,0.0,0.0,1723.55,1469.25,0.0,0.0,0.0,0.0,2019-10-30,36,28579.594802070987,345.91952178550224,-1377.6304782144978
2424003,32075961,OPTIDX,BANKNIFTY,2019-12-05,29700.0,PE,0.0,0.0,0.0,2697.85,1009.7,0.0,0.0,0.0,0.0,2019-10-30,36,28579.594802070987,1309.6759502035668,-1388.174049796433
2424003,32075961,OPTIDX,BANKNIFTY,2019-12-05,29700.0,PE,0.0,0.0,0.0,2697.85,1009.7,0.0,0.0,0.0,0.0,2019-10-30,36,28579.594802070987,1280.5682870741916,-1417.2817129258083
2424055,32076013,OPTIDX,BANKNIFTY,2019-12-12,29700.0,CE,0.0,0.0,0.0,1479.75,1599.55,0.0,0.0,0.0,0.0,2019-10-30,43,28289.919033909122,323.8615125118696,-1155.8884874881305
2424055,32076013,OPTIDX,BANKNIFTY,2019-12-12,29700.0,CE,0.0,0.0,0.0,1479.75,1599.55,0.0,0.0,0.0,0.0,2019-10-30,43,28289.919033909122,318.10357551110866,-1161.6464244888914
2424107,32076065,OPTIDX,BANKNIFTY,2019-12-12,29700.0,PE,0.0,0.0,0.0,2715.4,1106.7,0.0,0.0,0.0,0.0,2019-10-30,43,28289.919033909122,1599.377773437072,-1116.0222265629282
2424107,32076065,OPTIDX,BANKNIFTY,2019-12-12,29700.0,PE,0.0,0.0,0.0,2715.4,1106.7,0.0,0.0,0.0,0.0,2019-10-30,43,28289.919033909122,1482.5962379548982,-1232.8037620451018
2424149,32076107,OPTIDX,BANKNIFTY,2019-12-19,29700.0,CE,0.0,0.0,0.0,1772.75,1721.05,0.0,0.0,0.0,0.0,2019-10-30,50,29088.620414424186,785.4578646979602,-987.2921353020398
2424149,32076107,OPTIDX,BANKNIFTY,2019-12-19,29700.0,CE,0.0,0.0,0.0,1772.75,1721.05,0.0,0.0,0.0,0.0,2019-10-30,50,29088.620414424186,674.6616226653739,-1098.088377334626
